ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
27,13,6739,818154,102,en,8
27,13,7168,818261,102,en,8
27,13,6904,818204,102,en,8
27,13,7113,818252,102,en,8
27,13,6699,818141,102,en,8
27,13,6872,818190,102,en,8
27,13,6801,818168,102,en,8
27,13,7161,818255,102,en,8
27,13,6888,818195,102,en,8
27,13,6653,818132,102,en,8
27,13,6787,818165,102,en,8
27,13,6899,818198,102,en,8
27,13,6702,818140,102,en,8
27,13,7260,818273,102,en,8
27,13,6801,818169,102,en,8
27,13,7104,818250,102,en,8
27,13,6706,818142,102,en,8
27,13,7011,818228,102,en,8
27,13,6915,818206,102,en,8
27,13,7031,818230,102,en,8
27,13,7288,818281,102,en,8
27,13,6820,818173,102,en,8
27,13,7037,818233,102,en,8
27,13,7216,818267,102,en,8
27,13,6741,818155,102,en,8
27,13,6726,818146,102,en,8
27,13,6817,818175,102,en,8
27,13,7046,818234,102,en,8
27,13,7302,818290,102,en,8
27,13,6932,818208,102,en,8
27,13,6846,818184,102,en,8
27,13,6908,818205,102,en,8
27,13,7302,818291,102,en,8
27,13,6760,818160,102,en,8
27,13,7057,818239,102,en,8
27,13,6672,818136,102,en,8
27,13,7178,818262,102,en,8
27,13,6743,818158,102,en,8
27,13,6829,818177,102,en,8
27,13,6628,818125,102,en,8
27,13,7312,818289,102,en,8
27,13,6678,818138,102,en,8
27,13,6622,818123,102,en,8
27,13,6747,818156,102,en,8
27,13,6818,818174,102,en,8
27,13,7235,818275,102,en,8
27,13,6779,818162,102,en,8
27,13,6679,818137,102,en,8
27,13,6794,818166,102,en,8
27,13,7069,818241,102,en,8
27,13,6897,818199,102,en,8
27,13,6969,818215,102,en,8
27,13,7307,818286,102,en,8
27,13,6816,818172,102,en,8
27,13,7311,818285,102,en,8
27,13,6885,818201,102,en,8
27,13,6898,818200,102,en,8
27,13,7117,818248,102,en,8
27,13,7055,818236,102,en,8
27,13,6723,818148,102,en,8
27,13,7109,818246,102,en,8
27,13,6786,818164,102,en,8
27,13,6848,818186,102,en,8
27,13,7261,818272,102,en,8
27,13,6833,818180,102,en,8
