ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
121,56,6481,851702,3,en,7
121,56,6422,851700,3,en,7
121,56,6605,851706,3,en,7
121,56,6388,851699,3,en,7
121,56,5768,851692,3,en,7
121,56,6292,851697,3,en,7
121,56,5671,851687,3,en,7
121,56,6620,851708,3,en,7
121,56,5890,851695,3,en,7
121,56,5631,851686,3,en,7
121,56,6606,851707,3,en,7
121,56,5743,851691,3,en,7
121,56,5713,851688,3,en,7
121,56,5578,851685,3,en,7
121,56,6365,851698,3,en,7
121,56,6536,851705,3,en,7
121,56,6423,851701,3,en,7
121,56,6488,851703,3,en,7
121,56,5728,851689,3,en,7
121,56,5929,851696,3,en,7
121,56,5769,851693,3,en,7
121,56,5798,851694,3,en,7
121,56,5743,851690,3,en,7
121,56,6505,851704,3,en,7
161,60,3155,803099,98,en,4
161,60,3053,803071,98,en,4
161,60,3554,803287,98,en,4
161,60,3605,803298,98,en,4
161,60,3118,803089,98,en,4
161,60,3295,803137,98,en,4
161,60,3714,803328,98,en,4
161,60,3207,803112,98,en,4
161,60,3465,803224,98,en,4
161,60,3492,803231,98,en,4
161,60,3499,803232,98,en,4
161,60,3764,803333,98,en,4
161,60,3854,803380,98,en,4
161,60,3643,803305,98,en,4
161,60,3776,803367,98,en,4
161,60,3647,803306,98,en,4
161,60,3590,803251,98,en,4
161,60,3517,803282,98,en,4
161,60,3301,803138,98,en,4
161,60,3239,803120,98,en,4
161,60,3543,803286,98,en,4
161,60,3450,803221,98,en,4
161,60,3480,803226,98,en,4
161,60,3778,803369,98,en,4
161,60,3747,803357,98,en,4
161,60,3215,803114,98,en,4
161,60,3241,803121,98,en,4
161,60,2946,803020,98,en,4
161,60,3617,803300,98,en,4
161,60,3460,803223,98,en,4
161,60,2981,803028,98,en,4
161,60,3486,803208,98,en,4
161,60,3781,803370,98,en,4
161,60,2881,802991,98,en,4
161,60,3723,803320,98,en,4
161,60,3521,803237,98,en,4
161,60,3169,803100,98,en,4
161,60,3432,803187,98,en,4
161,60,3528,803239,98,en,4
161,60,3180,803105,98,en,4
161,60,3347,803176,98,en,4
161,60,2901,802997,98,en,4
161,60,3368,803179,98,en,4
161,60,3721,803321,98,en,4
161,60,3446,803220,98,en,4
161,60,3785,803368,98,en,4
161,60,2938,803019,98,en,4
161,60,2925,803000,98,en,4
161,60,3742,803362,98,en,4
161,60,3534,803284,98,en,4
161,60,3599,803295,98,en,4
161,60,3266,803125,98,en,4
161,60,3697,803314,98,en,4
161,60,3563,803288,98,en,4
161,60,3314,803140,98,en,4
161,60,3730,803360,98,en,4
161,60,3342,803174,98,en,4
161,60,3353,803175,98,en,4
161,60,3612,803297,98,en,4
161,60,3479,803227,98,en,4
161,60,3280,803135,98,en,4
161,60,2997,803032,98,en,4
161,60,3838,803377,98,en,4
161,60,3689,803313,98,en,4
161,60,3267,803133,98,en,4
161,60,3726,803326,98,en,4
161,60,2895,802996,98,en,4
161,60,3754,803363,98,en,4
161,60,3190,803108,98,en,4
161,60,3588,803250,98,en,4
161,60,3458,803199,98,en,4
161,60,3863,803381,98,en,4
161,60,3015,803040,98,en,4
161,60,3554,803242,98,en,4
161,60,3795,803371,98,en,4
161,60,3473,803205,98,en,4
161,60,3768,803365,98,en,4
161,60,3045,803049,98,en,4
161,60,3162,803102,98,en,4
161,60,3730,803327,98,en,4
161,60,3491,803230,98,en,4
161,60,3517,803236,98,en,4
161,60,2906,802998,98,en,4
161,60,3228,803118,98,en,4
161,60,3540,803238,98,en,4
161,60,3726,803322,98,en,4
161,60,3056,803051,98,en,4
161,60,3226,803117,98,en,4
161,60,3217,803113,98,en,4
161,60,3625,803301,98,en,4
161,60,3421,803188,98,en,4
161,60,3628,803302,98,en,4
161,60,2877,802990,98,en,4
161,60,3581,803290,98,en,4
161,60,3397,803182,98,en,4
161,60,3429,803186,98,en,4
161,60,3572,803246,98,en,4
161,60,2888,802992,98,en,4
161,60,3662,803308,98,en,4
161,60,3798,803372,98,en,4
161,60,3316,803143,98,en,4
161,60,3309,803164,98,en,4
161,60,3432,803185,98,en,4
161,60,3758,803338,98,en,4
161,60,3205,803111,98,en,4
161,60,3196,803110,98,en,4
161,60,3779,803315,98,en,4
161,60,3645,803304,98,en,4
161,60,3053,803053,98,en,4
161,60,3031,803045,98,en,4
161,60,3815,803373,98,en,4
161,60,2917,802999,98,en,4
161,60,2999,803037,98,en,4
161,60,3544,803241,98,en,4
161,60,3741,803332,98,en,4
161,60,3311,803166,98,en,4
161,60,3773,803340,98,en,4
161,60,3223,803116,98,en,4
161,60,2952,803021,98,en,4
161,60,3325,803169,98,en,4
161,60,3269,803130,98,en,4
161,60,3591,803249,98,en,4
161,60,3680,803312,98,en,4
161,60,2930,803018,98,en,4
161,60,3275,803134,98,en,4
161,60,2972,803025,98,en,4
161,60,3725,803324,98,en,4
161,60,3306,803139,98,en,4
161,60,3328,803170,98,en,4
161,60,3700,803316,98,en,4
161,60,3552,803243,98,en,4
161,60,3233,803119,98,en,4
161,60,3589,803294,98,en,4
161,60,3253,803126,98,en,4
161,60,3668,803309,98,en,4
161,60,3733,803359,98,en,4
161,60,3576,803289,98,en,4
161,60,3251,803127,98,en,4
161,60,3255,803128,98,en,4
161,60,3248,803124,98,en,4
161,60,3427,803189,98,en,4
161,60,3200,803109,98,en,4
161,60,3495,803279,98,en,4
161,60,3562,803283,98,en,4
161,60,3607,803296,98,en,4
161,60,3716,803323,98,en,4
161,60,3328,803144,98,en,4
161,60,3183,803106,98,en,4
161,60,3732,803331,98,en,4
161,60,3509,803281,98,en,4
161,60,3852,803378,98,en,4
161,60,3358,803178,98,en,4
161,60,3750,803364,98,en,4
161,60,3056,803073,98,en,4
161,60,3598,803293,98,en,4
161,60,3339,803173,98,en,4
161,60,3004,803038,98,en,4
161,60,3807,803374,98,en,4
161,60,3015,803043,98,en,4
161,60,3248,803123,98,en,4
161,60,3737,803361,98,en,4
161,60,3558,803244,98,en,4
161,60,2973,803027,98,en,4
161,60,3410,803183,98,en,4
161,60,3483,803207,98,en,4
161,60,3529,803285,98,en,4
161,60,3574,803278,98,en,4
161,60,3435,803219,98,en,4
161,60,3581,803247,98,en,4
161,60,3446,803197,98,en,4
161,60,3591,803252,98,en,4
161,60,3676,803310,98,en,4
161,60,3815,803375,98,en,4
161,60,3772,803366,98,en,4
161,60,3219,803115,98,en,4
161,60,3266,803131,98,en,4
161,60,3711,803319,98,en,4
161,60,3506,803233,98,en,4
161,60,3579,803248,98,en,4
161,60,3054,803072,98,en,4
161,60,3493,803229,98,en,4
161,60,3464,803200,98,en,4
161,60,3261,803132,98,en,4
161,60,3423,803184,98,en,4
161,60,3450,803198,98,en,4
161,60,3060,803074,98,en,4
161,60,3613,803299,98,en,4
161,60,3449,803222,98,en,4
161,60,3191,803107,98,en,4
161,60,3722,803325,98,en,4
161,60,3589,803291,98,en,4
161,60,3635,803303,98,en,4
161,60,2960,803024,98,en,4
161,60,3159,803103,98,en,4
161,60,3766,803339,98,en,4
161,60,2968,803026,98,en,4
161,60,3023,803044,98,en,4
161,60,2878,802989,98,en,4
161,60,3031,803047,98,en,4
161,60,2992,803031,98,en,4
161,60,3665,803311,98,en,4
161,60,3708,803317,98,en,4
161,60,3322,803142,98,en,4
161,60,3537,803240,98,en,4
161,60,3729,803330,98,en,4
161,60,3053,803050,98,en,4
161,60,3037,803048,98,en,4
161,60,3318,803141,98,en,4
161,60,3508,803234,98,en,4
161,60,2958,803023,98,en,4
161,60,3569,803245,98,en,4
161,60,3823,803376,98,en,4
161,60,3484,803228,98,en,4
161,60,3354,803177,98,en,4
161,60,3009,803039,98,en,4
161,60,3473,803225,98,en,4
161,60,3752,803337,98,en,4
161,60,3173,803104,98,en,4
161,60,3260,803129,98,en,4
161,60,3002,803033,98,en,4
161,60,3055,803057,98,en,4
161,60,2994,803030,98,en,4
161,60,3159,803101,98,en,4
161,60,2985,803029,98,en,4
161,60,3245,803122,98,en,4
161,60,3290,803136,98,en,4
161,60,3512,803235,98,en,4
161,60,2893,802993,98,en,4
161,60,2950,803022,98,en,4
161,60,3055,803054,98,en,4
161,60,3592,803280,98,en,4
161,60,3716,803318,98,en,4
161,60,3657,803307,98,en,4
161,60,3595,803292,98,en,4
161,60,3338,803172,98,en,4
161,60,3716,803329,98,en,4
155,60,5652,851704,3,en,7
155,60,5774,851737,3,en,7
155,60,6161,851819,3,en,7
155,60,5732,851727,3,en,7
155,60,5801,851743,3,en,7
155,60,5825,851747,3,en,7
155,60,5791,851741,3,en,7
155,60,6075,851802,3,en,7
155,60,5659,851705,3,en,7
155,60,5879,851758,3,en,7
155,60,5992,851783,3,en,7
155,60,5634,851699,3,en,7
155,60,5583,851688,3,en,7
155,60,5834,851748,3,en,7
155,60,5954,851772,3,en,7
155,60,5787,851740,3,en,7
155,60,5933,851769,3,en,7
155,60,6045,851792,3,en,7
155,60,5639,851700,3,en,7
155,60,5913,851765,3,en,7
155,60,5983,851780,3,en,7
155,60,5761,851734,3,en,7
155,60,6063,851799,3,en,7
155,60,6050,851793,3,en,7
155,60,6217,851830,3,en,7
155,60,6240,851841,3,en,7
155,60,6340,851846,3,en,7
155,60,5616,851697,3,en,7
155,60,6221,851831,3,en,7
155,60,5980,851759,3,en,7
155,60,5870,851756,3,en,7
155,60,5675,851713,3,en,7
155,60,5795,851742,3,en,7
155,60,5690,851716,3,en,7
155,60,5977,851779,3,en,7
155,60,6046,851794,3,en,7
155,60,6202,851828,3,en,7
155,60,5579,851687,3,en,7
155,60,6146,851816,3,en,7
155,60,6067,851800,3,en,7
155,60,6008,851785,3,en,7
155,60,5990,851782,3,en,7
155,60,6229,851839,3,en,7
155,60,5875,851755,3,en,7
155,60,5666,851706,3,en,7
155,60,6165,851820,3,en,7
155,60,5848,851751,3,en,7
155,60,5968,851775,3,en,7
155,60,5900,851763,3,en,7
155,60,5751,851732,3,en,7
155,60,6183,851824,3,en,7
155,60,6113,851809,3,en,7
155,60,6098,851807,3,en,7
155,60,5668,851709,3,en,7
155,60,6121,851811,3,en,7
155,60,6224,851832,3,en,7
155,60,5603,851692,3,en,7
155,60,5606,851693,3,en,7
155,60,5930,851768,3,en,7
155,60,6159,851817,3,en,7
155,60,5706,851719,3,en,7
155,60,6249,851844,3,en,7
155,60,5903,851764,3,en,7
155,60,6067,851796,3,en,7
155,60,5727,851726,3,en,7
155,60,6233,851838,3,en,7
155,60,6235,851815,3,en,7
155,60,5725,851725,3,en,7
155,60,5921,851766,3,en,7
155,60,5771,851738,3,en,7
155,60,6005,851786,3,en,7
155,60,5943,851770,3,en,7
155,60,5720,851724,3,en,7
155,60,5595,851690,3,en,7
155,60,5716,851721,3,en,7
155,60,5779,851736,3,en,7
155,60,5980,851778,3,en,7
155,60,6176,851823,3,en,7
155,60,6169,851821,3,en,7
155,60,5688,851715,3,en,7
155,60,5857,851753,3,en,7
155,60,5970,851777,3,en,7
155,60,5903,851762,3,en,7
155,60,5714,851723,3,en,7
155,60,5925,851767,3,en,7
155,60,5946,851771,3,en,7
155,60,5844,851750,3,en,7
155,60,5720,851722,3,en,7
155,60,5820,851746,3,en,7
155,60,6224,851836,3,en,7
155,60,6212,851829,3,en,7
155,60,6058,851797,3,en,7
155,60,5838,851749,3,en,7
155,60,5680,851714,3,en,7
155,60,5615,851694,3,en,7
155,60,6224,851834,3,en,7
155,60,5669,851710,3,en,7
155,60,5619,851695,3,en,7
155,60,6240,851842,3,en,7
155,60,6227,851837,3,en,7
155,60,5667,851708,3,en,7
155,60,6072,851801,3,en,7
155,60,5618,851696,3,en,7
155,60,6344,851847,3,en,7
155,60,6127,851812,3,en,7
155,60,6235,851840,3,en,7
155,60,5816,851745,3,en,7
155,60,6230,851833,3,en,7
155,60,5947,851773,3,en,7
155,60,6051,851795,3,en,7
155,60,5672,851712,3,en,7
155,60,6118,851810,3,en,7
155,60,5876,851757,3,en,7
155,60,6091,851805,3,en,7
155,60,6020,851788,3,en,7
155,60,5981,851781,3,en,7
155,60,5675,851711,3,en,7
155,60,6153,851818,3,en,7
155,60,5954,851774,3,en,7
155,60,6138,851814,3,en,7
155,60,5897,851760,3,en,7
155,60,6336,851845,3,en,7
155,60,6130,851813,3,en,7
155,60,5964,851776,3,en,7
155,60,5829,851827,3,en,7
155,60,5997,851784,3,en,7
155,60,5578,851685,3,en,7
155,60,6025,851789,3,en,7
155,60,6086,851804,3,en,7
155,60,6190,851806,3,en,7
155,60,5766,851735,3,en,7
155,60,5665,851707,3,en,7
155,60,6173,851822,3,en,7
155,60,6257,851843,3,en,7
155,60,6082,851803,3,en,7
155,60,5703,851718,3,en,7
155,60,6030,851790,3,en,7
155,60,6015,851787,3,en,7
155,60,5780,851739,3,en,7
155,60,5696,851717,3,en,7
155,60,6107,851808,3,en,7
155,60,6187,851825,3,en,7
155,60,6039,851791,3,en,7
155,60,5710,851720,3,en,7
155,60,5590,851689,3,en,7
155,60,5945,851752,3,en,7
155,60,5894,851761,3,en,7
155,60,6063,851798,3,en,7
155,60,5601,851691,3,en,7
155,60,6221,851835,3,en,7
155,60,5806,851744,3,en,7
155,60,5627,851698,3,en,7
155,60,5837,851728,3,en,7
133,48,3403,803211,98,en,4
133,48,3732,803335,98,en,4
133,48,3708,803317,98,en,4
133,48,2938,803019,98,en,4
133,48,3482,803278,98,en,4
133,48,3508,803281,98,en,4
133,48,3730,803327,98,en,4
133,48,3605,803298,98,en,4
133,48,3427,803217,98,en,4
133,48,2993,803064,98,en,4
133,48,3854,803380,98,en,4
133,48,3537,803240,98,en,4
133,48,3002,803041,98,en,4
133,48,3636,803356,98,en,4
133,48,3125,803090,98,en,4
133,48,3600,803266,98,en,4
133,48,3255,803128,98,en,4
133,48,3242,803173,98,en,4
133,48,3595,803292,98,en,4
133,48,3768,803365,98,en,4
133,48,3377,803204,98,en,4
133,48,2876,803013,98,en,4
133,48,2916,803006,98,en,4
133,48,3341,803191,98,en,4
133,48,3317,803168,98,en,4
133,48,3737,803361,98,en,4
133,48,3072,803075,98,en,4
133,48,2875,802994,98,en,4
133,48,3589,803291,98,en,4
133,48,2972,803025,98,en,4
133,48,3738,803336,98,en,4
133,48,3594,803254,98,en,4
133,48,3190,803108,98,en,4
