user_id,cohort,surveyid
3,"basic",1
4,"basic",1
5,"basic",1
6,"basic",1
7,"basic",1
10,"basic",1
12,"basic",1
15,"basic",1
17,"basic",1
20,"basic",1
21,"basic",1
22,"basic",1
23,"nopreannotations",2
24,"nopreannotations",2
25,"nopreannotations",2
26,"nopreannotations",2
27,"nopreannotations",2
28,"nopreannotations",2
29,"nopreannotations",2
30,"nopreannotations",2
31,"nopreannotations",2
32,"nopreannotations",2
33,"nopreannotations",2
34,"nopreannotations",2
35,"nopreannotations",2
36,"nopreannotations",2
37,"nopreannotations",2
38,"nopreannotations",2
39,"nopreannotations",2
40,"nopreannotations",2
41,"nopreannotations",2
42,"nopreannotations",2
45,"full",3
46,"full",3
50,"full",3
52,"full",3
53,"full",3
57,"full",3
59,"full",3
61,"full",3
62,"full",3
44,"full",3
8,"basic",1
47,"full",3
18,"basic",1
19,"basic",1
55,"full",3
14,"basic",1
43,"full",3
56,"full",3
13,"basic",1
60,"full",3
51,"full",3
49,"full",3
11,"basic",1
48,"full",3
54,"full",3
16,"basic",1
58,"full",3
9,"basic",1
