ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
38,11,7293,818284,102,en,8
38,11,6905,818203,102,en,8
38,11,7007,818227,102,en,8
38,11,6832,818180,102,en,8
38,11,7320,818146,102,en,8
38,11,6901,818198,102,en,8
38,11,7082,818245,102,en,8
38,11,7317,818287,102,en,8
38,11,7001,818226,102,en,8
38,11,7308,818291,102,en,8
38,11,6885,818195,102,en,8
38,11,6703,818143,102,en,8
38,11,7217,818270,102,en,8
38,11,6676,818137,102,en,8
38,11,6878,818192,102,en,8
38,11,6855,818186,102,en,8
38,11,7205,818267,102,en,8
38,11,7269,818279,102,en,8
38,11,7282,818282,102,en,8
38,11,7275,818280,102,en,8
38,11,6903,818202,102,en,8
38,11,6792,818166,102,en,8
38,11,7032,818231,102,en,8
38,11,6812,818171,102,en,8
38,11,7243,818273,102,en,8
38,11,7037,818232,102,en,8
38,11,7119,818251,102,en,8
38,11,6820,818173,102,en,8
38,11,6921,818207,102,en,8
38,11,6707,818142,102,en,8
38,11,6864,818189,102,en,8
38,11,6726,818148,102,en,8
38,11,7022,818229,102,en,8
38,11,7046,818234,102,en,8
38,11,6919,818206,102,en,8
38,11,7062,818239,102,en,8
38,11,6931,818210,102,en,8
38,11,6626,818126,102,en,8
38,11,7110,818253,102,en,8
38,11,6954,818215,102,en,8
38,11,6970,818216,102,en,8
38,11,7238,818272,102,en,8
38,11,6785,818164,102,en,8
38,11,6902,818199,102,en,8
38,11,7198,818265,102,en,8
38,11,7179,818264,102,en,8
38,11,7278,818281,102,en,8
38,11,6935,818211,102,en,8
38,11,7322,818221,102,en,8
38,11,6636,818129,102,en,8
38,11,6903,818201,102,en,8
38,11,7149,818258,102,en,8
38,11,6655,818134,102,en,8
38,11,6711,818144,102,en,8
38,11,6807,818170,102,en,8
38,11,6788,818165,102,en,8
38,11,7068,818241,102,en,8
38,11,7213,818269,102,en,8
38,11,7225,818271,102,en,8
38,11,6857,818187,102,en,8
38,11,6817,818172,102,en,8
38,11,6881,818193,102,en,8
38,11,7159,818259,102,en,8
38,11,6634,818128,102,en,8
38,11,7091,818248,102,en,8
38,11,6752,818157,102,en,8
38,11,7314,818124,102,en,8
38,11,6760,818160,102,en,8
38,11,6990,818219,102,en,8
38,11,6806,818169,102,en,8
38,11,7130,818255,102,en,8
38,11,6797,818167,102,en,8
38,11,6884,818194,102,en,8
38,11,7134,818256,102,en,8
38,11,7169,818261,102,en,8
38,11,7029,818230,102,en,8
38,11,6720,818147,102,en,8
38,11,6732,818150,102,en,8
38,11,6837,818181,102,en,8
38,11,7075,818244,102,en,8
38,11,6822,818174,102,en,8
38,11,7247,818274,102,en,8
38,11,7233,818268,102,en,8
38,11,7055,818237,102,en,8
38,11,6913,818205,102,en,8
38,11,7051,818236,102,en,8
38,11,6692,818139,102,en,8
38,11,7018,818228,102,en,8
38,11,7011,818224,102,en,8
38,11,6678,818138,102,en,8
38,11,6874,818191,102,en,8
38,11,6750,818156,102,en,8
38,11,7170,818262,102,en,8
38,11,6908,818204,102,en,8
38,11,6667,818136,102,en,8
38,11,7261,818277,102,en,8
38,11,6756,818159,102,en,8
38,11,6729,818149,102,en,8
38,11,6632,818127,102,en,8
38,11,6828,818178,102,en,8
38,11,6893,818196,102,en,8
38,11,7316,818223,102,en,8
38,11,7300,818285,102,en,8
38,11,6782,818163,102,en,8
38,11,7099,818250,102,en,8
38,11,7086,818246,102,en,8
38,11,6943,818213,102,en,8
38,11,6980,818217,102,en,8
38,11,6997,818220,102,en,8
38,11,7310,818123,102,en,8
38,11,7289,818283,102,en,8
38,11,7316,818222,102,en,8
38,11,6869,818190,102,en,8
38,11,7059,818238,102,en,8
38,11,6928,818209,102,en,8
38,11,6628,818125,102,en,8
38,11,6639,818130,102,en,8
38,11,6746,818155,102,en,8
38,11,7088,818247,102,en,8
38,11,7313,818289,102,en,8
38,11,7317,818141,102,en,8
38,11,6769,818161,102,en,8
38,11,7318,818145,102,en,8
38,11,6829,818179,102,en,8
38,11,6825,818176,102,en,8
38,11,7049,818235,102,en,8
38,11,6779,818162,102,en,8
38,11,6845,818183,102,en,8
38,11,6651,818133,102,en,8
38,11,6897,818197,102,en,8
38,11,6925,818208,102,en,8
38,11,6642,818131,102,en,8
38,11,7097,818249,102,en,8
38,11,7321,818288,102,en,8
38,11,6648,818132,102,en,8
38,11,6826,818177,102,en,8
38,11,7106,818252,102,en,8
38,11,6851,818185,102,en,8
38,11,7321,818158,102,en,8
38,11,7042,818233,102,en,8
38,11,7258,818276,102,en,8
38,11,7264,818278,102,en,8
38,11,6905,818200,102,en,8
38,11,7252,818275,102,en,8
38,11,6940,818212,102,en,8
38,11,7141,818257,102,en,8
38,11,7125,818254,102,en,8
38,11,6743,818154,102,en,8
38,11,7070,818242,102,en,8
38,11,6801,818168,102,en,8
38,11,6950,818214,102,en,8
38,11,6698,818140,102,en,8
38,11,7202,818266,102,en,8
38,11,6741,818153,102,en,8
38,11,7013,818225,102,en,8
38,11,7072,818243,102,en,8
38,11,7305,818290,102,en,8
38,11,6660,818135,102,en,8
38,11,6735,818151,102,en,8
38,11,6847,818184,102,en,8
38,11,6739,818152,102,en,8
38,11,7064,818240,102,en,8
38,11,7163,818260,102,en,8
38,11,6859,818188,102,en,8
38,11,6841,818182,102,en,8
38,11,6823,818175,102,en,8
38,11,6985,818218,102,en,8
45,11,6289,851851,3,en,7
45,11,6507,851915,3,en,7
45,11,6575,851931,3,en,7
45,11,6085,851798,3,en,7
45,11,6326,851862,3,en,7
45,11,6240,851837,3,en,7
45,11,6375,851886,3,en,7
45,11,5675,851713,3,en,7
45,11,5860,851754,3,en,7
45,11,5634,851700,3,en,7
45,11,5776,851737,3,en,7
45,11,6006,851786,3,en,7
45,11,6328,851863,3,en,7
45,11,5707,851721,3,en,7
45,11,5966,851775,3,en,7
45,11,6458,851902,3,en,7
45,11,6082,851797,3,en,7
45,11,6598,851940,3,en,7
45,11,6323,851861,3,en,7
45,11,5961,851774,3,en,7
45,11,6341,851869,3,en,7
45,11,6371,851882,3,en,7
45,11,5600,851692,3,en,7
45,11,6255,851841,3,en,7
45,11,6027,851789,3,en,7
45,11,6517,851917,3,en,7
45,11,5626,851698,3,en,7
45,11,6259,851842,3,en,7
45,11,6298,851854,3,en,7
45,11,6251,851840,3,en,7
45,11,6601,851941,3,en,7
45,11,6583,851934,3,en,7
45,11,5592,851690,3,en,7
45,11,6000,851783,3,en,7
45,11,5646,851702,3,en,7
45,11,6434,851898,3,en,7
45,11,5678,851714,3,en,7
45,11,6461,851903,3,en,7
45,11,5651,851703,3,en,7
45,11,5665,851708,3,en,7
45,11,6428,851897,3,en,7
45,11,6329,851864,3,en,7
45,11,6368,851881,3,en,7
45,11,6505,851914,3,en,7
45,11,5802,851742,3,en,7
45,11,6488,851909,3,en,7
45,11,6358,851876,3,en,7
45,11,6270,851845,3,en,7
45,11,6580,851933,3,en,7
45,11,5978,851778,3,en,7
45,11,5848,851751,3,en,7
45,11,6150,851814,3,en,7
45,11,5866,851735,3,en,7
45,11,6608,851944,3,en,7
45,11,5992,851781,3,en,7
45,11,5864,851734,3,en,7
45,11,5661,851706,3,en,7
45,11,6090,851800,3,en,7
45,11,6002,851784,3,en,7
45,11,6412,851893,3,en,7
45,11,5670,851710,3,en,7
45,11,6277,851847,3,en,7
45,11,5923,851767,3,en,7
45,11,5691,851717,3,en,7
45,11,6243,851838,3,en,7
45,11,6565,851929,3,en,7
45,11,6293,851852,3,en,7
45,11,6594,851939,3,en,7
45,11,6301,851855,3,en,7
45,11,5829,851747,3,en,7
45,11,6613,851884,3,en,7
45,11,6533,851921,3,en,7
45,11,6097,851801,3,en,7
45,11,6318,851859,3,en,7
45,11,5819,851745,3,en,7
45,11,5990,851780,3,en,7
45,11,5711,851722,3,en,7
45,11,6548,851924,3,en,7
45,11,5703,851720,3,en,7
45,11,6527,851920,3,en,7
45,11,6420,851896,3,en,7
45,11,5725,851725,3,en,7
45,11,5807,851743,3,en,7
45,11,6164,851819,3,en,7
45,11,5596,851691,3,en,7
45,11,6209,851828,3,en,7
45,11,5795,851740,3,en,7
45,11,6193,851824,3,en,7
45,11,5715,851723,3,en,7
45,11,5873,851757,3,en,7
45,11,5748,851731,3,en,7
45,11,5814,851744,3,en,7
45,11,5583,851686,3,en,7
