ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
661,355,3300,802994,98,en,4
661,355,3300,802996,98,en,4
661,355,3806,803018,98,en,4
661,355,3631,803040,98,en,4
661,355,3300,803005,98,en,4
661,355,2872,803024,98,en,4
661,355,3026,802993,98,en,4
661,355,3300,803002,98,en,4
661,355,3780,803061,98,en,4
661,355,3052,803028,98,en,4
661,355,3464,803014,98,en,4
661,355,3510,803222,98,en,4
661,355,3300,802999,98,en,4
661,355,3248,803059,98,en,4
661,355,2872,803019,98,en,4
661,355,3360,803032,98,en,4
661,355,2935,802991,98,en,4
661,355,3867,803057,98,en,4
661,355,3360,803029,98,en,4
661,355,3300,803012,98,en,4
661,355,3300,803000,98,en,4
661,355,3867,803058,98,en,4
661,355,3553,803034,98,en,4
661,355,2944,802990,98,en,4
661,355,3096,802986,98,en,4
661,355,3096,802985,98,en,4
661,355,3861,803017,98,en,4
661,355,3631,803039,98,en,4
661,355,3553,803033,98,en,4
661,355,3300,803013,98,en,4
661,355,3868,803374,98,en,4
661,355,3806,803023,98,en,4
661,355,2954,803056,98,en,4
661,355,3053,803038,98,en,4
661,355,3300,803004,98,en,4
661,355,3783,803037,98,en,4
661,355,3300,802998,98,en,4
661,355,3236,803027,98,en,4
661,355,3780,803063,98,en,4
661,355,3300,803008,98,en,4
661,355,3780,803060,98,en,4
661,355,3360,803030,98,en,4
661,355,3360,803031,98,en,4
661,355,3631,803041,98,en,4
661,355,3300,803011,98,en,4
661,355,2935,802992,98,en,4
661,355,3300,803006,98,en,4
661,355,3220,802988,98,en,4
661,355,3510,803223,98,en,4
661,355,3300,803003,98,en,4
661,355,3300,803007,98,en,4
661,355,3806,803021,98,en,4
661,355,3553,803035,98,en,4
661,355,3473,802987,98,en,4
661,355,3300,803009,98,en,4
661,355,3017,803036,98,en,4
661,355,3300,802997,98,en,4
661,355,3622,803243,98,en,4
661,355,2944,802989,98,en,4
661,355,3806,803016,98,en,4
661,355,3804,803015,98,en,4
661,355,2966,803020,98,en,4
661,355,3300,803010,98,en,4
661,355,3300,803001,98,en,4
