"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Referrer URL","Username","Study Bucket","Have you experi.. ","Technical Issues","NASA Task Load ..  [Mental Demand (.. ]","NASA Task Load ..  [Temporal Demand.. ]","NASA Task Load ..  [Performance (Pe.. ]","NASA Task Load ..  [Effort (Very Lo.. ]","NASA Task Load ..  [Frustration (Ve.. ]","NASA Task Load ..  [Physical Demand.. ]","Any comments, s.. "
"21","2026-07-05 10:11:51","2","en","286180102","2026-07-05 10:07:02","2026-07-05 10:11:51",,"CoolTurtle659","full","Yes","I was logged out after finishing the 25min.","3","7","6","8","5",,""
"23","2026-07-05 15:55:56","2","en","725004457","2026-07-05 15:54:56","2026-07-05 15:55:56",,"NimbleMoose304","full","Yes","The website often said there was a system error that my work wasnt being saved.
","9","12","8","8","11",,""
"24","2026-07-05 11:00:11","2","en","1375117999","2026-07-05 10:58:46","2026-07-05 11:00:11",,"","basic","Yes","At some point, I could not annotate anymore: I would select a letter, but the dot would still be blue. When I switched to a different text, the issue resolved itself.","6","16","14","11","21",,""
"25","2026-07-05 16:44:06","2","en","1643830337","2026-07-05 16:41:33","2026-07-05 16:44:06",,"QuietAlpaca903","full","Yes","logged out after completing the medium difficulty text. (violated unique key constraint... ouch). (and yes, that was me doing this survey)","5","5","1","6","2",,""
"26","2026-07-05 11:01:38","2","en","595272786","2026-07-05 10:59:32","2026-07-05 11:01:38",,"","full","Yes","I was ""unauthorised"" after finishing the first text and had to open the magic link again.","7","13","5","10","17",,""
"27","2026-07-05 11:43:48","2","en","553545483","2026-07-05 11:39:38","2026-07-05 11:43:48",,"","basic","Yes","Logged out after completing a text, needed to click the link again
","13","17","8","12","14",,"some of the dots are so perfectly aligned, or there are a lot of points on the same word, that it's very hard to click the right letter.

i would like to be able to zoom in a bit to make the text bigger. "
"29","2026-07-06 18:01:11","2","en","1041472115","2026-07-06 17:58:08","2026-07-06 18:01:11",,"BriskKoala988","full","No",,"9","10","14","7","17",,""
"30","2026-07-05 13:01:49","2","en","1765301589","2026-07-05 12:59:43","2026-07-05 13:01:49",,"LuckyTurtle126","basic","Yes","randomly got logged out at the end of aa page and when i logged back in my time went from 7min to 24min (i did not continue to the use the app as i didntt want to spend more then 30min on it)","15","12","7","11","5",,"Add aa Legend say in the bottom corner or something as at the start its easy to forget what all the colours meaan"
"31","2026-07-07 19:22:28","2","en","1992496145","2026-07-07 19:13:54","2026-07-07 19:22:28","https://eyetap.ivia.ch/","BrightLynx098","full","No",,"4","4","16","8","1","5","At the beginning it is not clear what is expected. What do I have to do? When should I correct the suggestion. What options do I have. After some clicks I think I guessed right. 
I assumed the reader had read the text sequentially and placed the markers accordingly. But that might not be correct. The text appears to be difficult, as the reader went over some lines multiple times; consequently, it is unclear whether they were repeating the previous line or the current one."
"32","2026-07-07 22:46:22","2","en","1292637987","2026-07-07 22:43:07","2026-07-07 22:46:22","https://eyetap.ivia.ch/","GentleSparrow384","full","No",,"6","14","7","8","12","1",""
"33","2026-07-08 10:53:29","2","en","1979762458","2026-07-08 10:52:04","2026-07-08 10:53:29","https://eyetap.ivia.ch/","NimbleSeal934","basic","No",,"17","4","15","7","13","1",""
