user_id,analytics,surveyid
153,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611655344,""e"":10.5,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611677657,""e"":22.3,""x"":340,""f"":{""a"":2,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611694351,""e"":16.7,""x"":307,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611704831,""e"":10.5,""x"":336,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611707301,""e"":2.5,""x"":336,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611741123,""e"":15.9,""x"":340,""f"":{""a"":3,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611760005,""e"":18.9,""x"":336,""f"":{""a"":2,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611766836,""e"":6.8,""x"":340,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611778171,""e"":11.3,""x"":307,""f"":{""a"":2,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611790937,""e"":12.8,""x"":336,""f"":{""a"":3,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611839576,""e"":14.4,""x"":307,""f"":{""a"":3,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611854283,""e"":14.7,""x"":336,""f"":{""a"":4,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611863083,""e"":8.8,""x"":340,""f"":{""a"":5,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611885129,""e"":22,""x"":307,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783611894966,""e"":9.8,""x"":307,""f"":{""a"":1,""u"":1,""f"":0,""d"":0}}]",102
177,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612202344,""e"":20.1,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612242257,""e"":39.9,""x"":338,""f"":{""a"":7,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612294467,""e"":52.2,""x"":338,""f"":{""a"":5,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612366441,""e"":64.8,""x"":338,""f"":{""a"":23,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612994430,""e"":619.6,""x"":295,""f"":{""a"":223,""u"":0,""f"":20,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613312911,""e"":315.1,""x"":338,""f"":{""a"":122,""u"":0,""f"":4,""d"":0}}]",102
185,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612504839,""e"":20.4,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":62,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612544404,""e"":39.6,""x"":370,""f"":{""a"":7,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613139049,""e"":21.4,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613177613,""e"":38.6,""x"":370,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613403161,""e"":36.1,""x"":370,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}}]",103
195,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612107727,""e"":60,""x"":-2,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612165256,""e"":57.5,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612167724,""e"":2.5,""x"":386,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612227723,""e"":60,""x"":386,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612287723,""e"":60,""x"":414,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612347722,""e"":60,""x"":414,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612407724,""e"":60,""x"":414,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612467723,""e"":60,""x"":414,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612527724,""e"":60,""x"":414,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612587724,""e"":60,""x"":414,""f"":{""a"":3,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612647722,""e"":60,""x"":414,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612707723,""e"":60,""x"":414,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612767724,""e"":60,""x"":414,""f"":{""a"":1,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612827722,""e"":60,""x"":362,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":2,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612887723,""e"":60,""x"":362,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":2,""dc"":0,""db"":0,""sp"":14,""e"":0},""t"":1783612947725,""e"":60,""x"":362,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613007723,""e"":60,""x"":386,""f"":{""a"":5,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613067724,""e"":60,""x"":386,""f"":{""a"":5,""u"":1,""f"":21,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613127729,""e"":60,""x"":386,""f"":{""a"":33,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613187729,""e"":60,""x"":386,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613417404,""e"":171.7,""x"":362,""f"":{""a"":1,""u"":0,""f"":1,""d"":0}}]",103
216,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612807685,""e"":15.5,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":3,""db"":0,""sp"":0,""e"":0},""t"":1783612852957,""e"":45.3,""x"":482,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":2,""db"":0,""sp"":49,""e"":0},""t"":1783612912138,""e"":59.2,""x"":482,""f"":{""a"":1,""u"":1,""f"":0,""d"":0}}]",104
238,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612559727,""e"":60,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612619720,""e"":60,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783612655203,""e"":35.5,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783613719148,""e"":22.8,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":13,""db"":0,""sp"":0,""e"":0},""t"":1783613756392,""e"":37.2,""x"":498,""f"":{""a"":5,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":18,""db"":0,""sp"":0,""e"":0},""t"":1783613816399,""e"":60,""x"":498,""f"":{""a"":13,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":1,""db"":1,""sp"":5,""e"":0},""t"":1783613876402,""e"":60,""x"":498,""f"":{""a"":4,""u"":1,""f"":0,""d"":0}}]",104
354,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783687602764,""e"":34.2,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":3,""db"":1,""sp"":0,""e"":0},""t"":1783687628558,""e"":25.8,""x"":660,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783687688556,""e"":60,""x"":660,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783687748555,""e"":60,""x"":660,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":1,""db"":1,""sp"":0,""e"":0},""t"":1783687808554,""e"":60,""x"":660,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":2,""db"":1,""sp"":0,""e"":0},""t"":1783687868555,""e"":60,""x"":660,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":9,""z"":23,""dc"":2,""db"":0,""sp"":0,""e"":0},""t"":1783687928554,""e"":60,""x"":660,""f"":{""a"":8,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":9,""z"":0,""dc"":4,""db"":5,""sp"":0,""e"":0},""t"":1783687988553,""e"":60,""x"":660,""f"":{""a"":20,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":8,""db"":7,""sp"":0,""e"":0},""t"":1783688048554,""e"":60,""x"":660,""f"":{""a"":12,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":1,""z"":0,""dc"":12,""db"":11,""sp"":0,""e"":0},""t"":1783688108557,""e"":60,""x"":660,""f"":{""a"":16,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":9,""db"":11,""sp"":0,""e"":0},""t"":1783688168554,""e"":60,""x"":660,""f"":{""a"":16,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":1,""db"":1,""sp"":0,""e"":0},""t"":1783688228557,""e"":60,""x"":660,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":3,""z"":0,""dc"":4,""db"":3,""sp"":0,""e"":0},""t"":1783688288559,""e"":60,""x"":660,""f"":{""a"":7,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":1,""z"":0,""dc"":10,""db"":9,""sp"":0,""e"":0},""t"":1783688348559,""e"":60,""x"":660,""f"":{""a"":20,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":2,""z"":0,""dc"":5,""db"":7,""sp"":5,""e"":0},""t"":1783688387988,""e"":39.4,""x"":660,""f"":{""a"":12,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":5,""sp"":0,""e"":0},""t"":1783688408551,""e"":20.6,""x"":658,""f"":{""a"":6,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":27,""sp"":0,""e"":0},""t"":1783688468552,""e"":60,""x"":658,""f"":{""a"":27,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":40,""sp"":0,""e"":0},""t"":1783688528554,""e"":60,""x"":658,""f"":{""a"":42,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":36,""sp"":0,""e"":0},""t"":1783688588557,""e"":60,""x"":658,""f"":{""a"":37,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":38,""sp"":0,""e"":0},""t"":1783688648560,""e"":60,""x"":658,""f"":{""a"":39,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":37,""sp"":0,""e"":0},""t"":1783688708565,""e"":60,""x"":658,""f"":{""a"":37,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":43,""sp"":0,""e"":0},""t"":1783688768568,""e"":60,""x"":658,""f"":{""a"":43,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":28,""sp"":0,""e"":0},""t"":1783688807160,""e"":38.6,""x"":658,""f"":{""a"":29,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688807495,""e"":0.3,""x"":658,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":7,""sp"":0,""e"":0},""t"":1783688828549,""e"":21.1,""x"":659,""f"":{""a"":8,""u"":0,""f"":0,""d"":0}}]",104
355,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783687802005,""e"":51.9,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783687810130,""e"":8.1,""x"":661,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783687824819,""e"":14.7,""x"":661,""f"":{""a"":2,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783687890075,""e"":49,""x"":661,""f"":{""a"":11,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688044173,""e"":154.1,""x"":663,""f"":{""a"":30,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688304904,""e"":260.7,""x"":661,""f"":{""a"":36,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688351991,""e"":47.1,""x"":662,""f"":{""a"":2,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688374903,""e"":22.9,""x"":663,""f"":{""a"":50,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688448103,""e"":73.2,""x"":661,""f"":{""a"":48,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688493239,""e"":45.1,""x"":662,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688520736,""e"":27.5,""x"":663,""f"":{""a"":57,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688591097,""e"":70.4,""x"":661,""f"":{""a"":51,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688625321,""e"":34.2,""x"":662,""f"":{""a"":5,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688677730,""e"":52.4,""x"":663,""f"":{""a"":59,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688724618,""e"":46.9,""x"":661,""f"":{""a"":55,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688747714,""e"":23.1,""x"":662,""f"":{""a"":6,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688789978,""e"":42.3,""x"":663,""f"":{""a"":68,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688823515,""e"":33.5,""x"":661,""f"":{""a"":63,""u"":0,""f"":0,""d"":0}}]",102
357,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688096291,""e"":19.2,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":1,""db"":0,""sp"":0,""e"":0},""t"":1783688137111,""e"":40.8,""x"":669,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":4,""db"":0,""sp"":0,""e"":0},""t"":1783688197109,""e"":60,""x"":669,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":1,""db"":0,""sp"":5,""e"":0},""t"":1783688257107,""e"":60,""x"":669,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":8,""db"":0,""sp"":38,""e"":0},""t"":1783688317102,""e"":60,""x"":669,""f"":{""a"":8,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":13,""db"":0,""sp"":5,""e"":0},""t"":1783688377115,""e"":60,""x"":669,""f"":{""a"":5,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":9,""db"":0,""sp"":0,""e"":0},""t"":1783688437103,""e"":60,""x"":669,""f"":{""a"":7,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":12,""db"":0,""sp"":0,""e"":0},""t"":1783688497108,""e"":60,""x"":669,""f"":{""a"":6,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":13,""db"":0,""sp"":0,""e"":0},""t"":1783688557104,""e"":60,""x"":669,""f"":{""a"":7,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":11,""db"":0,""sp"":0,""e"":0},""t"":1783688617107,""e"":60,""x"":669,""f"":{""a"":9,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":11,""db"":0,""sp"":0,""e"":0},""t"":1783688677109,""e"":60,""x"":669,""f"":{""a"":8,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":14,""db"":0,""sp"":0,""e"":0},""t"":1783688737107,""e"":60,""x"":669,""f"":{""a"":5,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":14,""db"":0,""sp"":0,""e"":0},""t"":1783688797114,""e"":60,""x"":669,""f"":{""a"":8,""u"":0,""f"":0,""d"":0}}]",104
358,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688320226,""e"":22.5,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783688357735,""e"":37.5,""x"":671,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}}]",103
